Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit
84,2,0,0,1,4,1.9499771000000692,-7.0,3,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
85,2,0,0,1,4,5.683504999999968,-20.5,3,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
86,2,3,3,1,4,1.2165722999998252,74.0,18,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
87,2,1,1,1,4,2.4506021999995937,65.0,12,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
88,2,3,3,1,4,1.5677474000003713,56.0,20,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
89,2,2,2,1,4,2.766457800000353,-29.5,24,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
90,2,1,1,1,4,1.266729299999497,24.5,6,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
91,2,1,1,1,4,2.566237899999578,29.0,11,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
92,2,3,2,0,4,2.8007329000001846,2.0,23,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
93,2,2,2,1,4,17.31555339999977,-74.5,17,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
94,2,3,3,1,4,1.2491255999993882,69.5,22,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
95,2,3,3,1,4,0.8839798999997583,11.0,17,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
96,2,0,0,1,4,1.8177762000004805,-7.0,2,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
97,2,0,0,1,4,1.0665892999995776,-70.0,6,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
98,2,1,1,1,4,2.0339113999998517,20.0,4,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
99,2,3,3,1,4,5.6667091999997865,83.0,17,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
100,2,0,0,1,4,2.5326912000000448,-56.5,0,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
101,2,1,1,1,4,2.183426900000086,15.5,1,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
102,2,2,2,1,4,1.6837123000004794,-88.0,14,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
103,2,1,1,1,4,1.7500817999998617,20.0,11,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
104,2,3,3,1,4,2.032981800000016,11.0,20,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
105,2,3,3,1,4,3.2502832000000126,42.5,21,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
106,2,3,3,1,4,5.217662499999278,83.0,15,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
107,2,1,1,1,4,3.01554059999944,51.5,8,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
108,2,0,0,1,4,2.5838849000001574,-43.0,8,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
109,2,2,2,1,4,2.0340076000002227,-25.0,22,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
110,2,2,2,1,4,2.283579699999791,-61.0,24,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
111,2,0,0,1,4,2.600928200000453,-16.0,5,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
112,2,1,0,0,4,1.9004003000000012,6.5,1,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
113,3,7,5,0,8,8.732486699999754,2.0,15,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
114,2,3,3,1,4,2.499298799999451,24.5,22,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
115,2,0,0,1,4,1.3324033999997482,-25.0,9,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
116,2,1,1,1,4,2.3003281000001152,20.0,1,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
117,2,0,0,1,4,1.0996251999995366,-34.0,10,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
118,2,3,3,1,4,1.4675373999998556,29.0,22,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
119,2,0,0,1,4,1.3837419999999838,-34.0,1,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
120,2,1,1,1,4,2.0993029000001115,78.5,0,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
121,2,0,0,1,4,2.2666972000006353,-88.0,10,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
122,2,3,3,1,4,5.76672680000047,51.5,23,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
123,2,1,1,1,4,1.86670630000026,29.0,3,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
124,2,0,0,1,4,1.2178949999997712,-25.0,11,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
125,2,1,1,1,4,2.8507586000005176,29.0,11,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
126,2,1,1,1,4,3.1501427000002877,47.0,1,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
127,2,3,3,1,4,1.333457200000339,47.0,19,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
128,2,1,1,1,4,2.3838168000002042,65.0,3,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
129,2,1,1,1,4,1.9007722999995167,65.0,3,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
130,2,2,2,1,4,1.8658715000001393,-34.0,17,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
131,2,2,2,1,4,1.3337563000004593,-34.0,24,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
132,2,1,0,0,4,1.4514767000000575,6.5,2,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
133,2,1,1,1,4,2.4994157000000996,20.0,11,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
134,2,1,1,1,4,0.7833160000000134,42.5,4,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
135,2,2,2,1,4,6.349546600000394,-29.5,16,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
136,2,0,0,1,4,8.60070850000011,-70.0,1,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
137,2,1,1,1,4,2.2154408000005787,33.5,10,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
138,2,0,1,0,4,3.100260100000014,60.5,4,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
139,2,2,2,1,4,1.448426500000096,-43.0,22,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
140,2,2,3,0,4,3.767592500000319,69.5,17,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
141,2,0,0,1,4,1.5984007000006386,-61.0,2,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
142,2,2,2,1,4,1.5344237999997858,-11.5,16,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
143,2,0,0,1,4,2.9678641999998945,-79.0,6,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
144,2,3,3,1,4,1.7998414000003322,24.5,20,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
145,2,3,3,1,4,7.1495168999999805,56.0,22,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
146,2,3,3,1,4,3.9009440999998333,38.0,18,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
147,2,3,3,1,4,2.6843840000001364,60.5,22,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
148,2,3,3,1,4,3.533398699999452,83.0,14,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
149,2,0,0,1,4,3.816715099999783,-38.5,6,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
150,2,2,2,1,4,2.2679402000003392,-79.0,21,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
151,2,2,2,1,4,3.750076700000136,-34.0,13,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
152,2,3,3,1,4,7.700836299999537,38.0,22,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
153,2,1,1,1,4,4.832983100000092,47.0,5,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
154,2,1,1,1,4,4.116749599999821,15.5,2,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
155,2,3,3,1,4,3.2013919999999416,29.0,13,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
156,2,3,3,1,4,7.117368400000487,33.5,20,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
157,2,0,0,1,4,4.7673232000006465,-11.5,8,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
158,2,3,3,1,4,2.6673424999999042,42.5,22,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
159,2,1,1,1,4,3.117813300000307,56.0,5,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
160,2,3,1,0,4,3.2164809000005334,60.5,12,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
161,2,0,0,1,4,10.449481300000116,-79.0,4,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
162,2,1,1,1,4,1.300632599999517,38.0,11,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
163,2,3,3,1,4,1.4837007999994967,15.5,19,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
164,2,0,0,1,4,1.649978600000395,-56.5,3,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
165,2,1,1,1,4,1.3671809999996185,42.5,5,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
166,2,0,0,1,4,1.0005863000005775,-11.5,7,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
167,2,1,1,1,4,1.1172852999998213,60.5,3,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
168,2,0,0,1,4,1.0004894000003333,-11.5,12,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
169,2,1,1,1,4,1.017141299999821,56.0,1,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
170,2,1,1,1,4,0.7005619000001388,69.5,12,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
