,Current_task,Accuracy,Boundary_Task_1,Boundary_Task_2_low,Boundary_Task_2_high,Boundary_Task_3,Meta_trial,Probability_correct_1,Probability_correct_2,Probability_correct_3,Decision,Prob_Dec,Prob_Stay,Prob_Inc,accuracy_1,accuracy_2,accuracy_3
79,3,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8390209270427968,0.8389773285438709,0,0.11920292202211769,0.8807970779778823,0,0.9,0.9,0.7
80,3,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8390209270427968,0.8470284621166773,-1,0.2689414213699951,0.7310585786300049,0,0.9,0.9,0.6
81,2,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8390209270427968,0.8546770390108434,1,0.00027385395951405725,0.001227328297222953,0.998498817743263,0.9,0.9,0.6
82,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.847069880690657,0.8546770390108434,0,0.2689414213699951,0.7310585786300049,0,0.9,1.0,0.6
83,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.847069880690657,0.8619431870603012,0,0.2689414213699951,0.7310585786300049,0,0.9,1.0,0.6
84,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.847069880690657,0.8688460277072861,0,0.11920292202211769,0.8807970779778823,0,0.9,1.0,0.7
85,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.847069880690657,0.8754037263219219,0,0.047425873177566635,0.9525741268224334,0,0.9,1.0,0.8
86,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.847069880690657,0.8816335400058257,-1,0.047425873177566635,0.9525741268224334,0,0.9,1.0,0.8
87,2,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.847069880690657,0.8875518630055345,1,4.1932781351648094e-05,0.0005108458555719529,0.9994472213630764,0.9,1.0,0.8
88,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8547163866561241,0.8875518630055345,0,0.047425873177566635,0.9525741268224334,0,0.9,1.0,0.8
89,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8547163866561241,0.8931742698552577,0,0.047425873177566635,0.9525741268224334,0,0.9,1.0,0.8
90,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8547163866561241,0.8985155563624948,0,0.047425873177566635,0.9525741268224334,0,0.9,1.0,0.8
91,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8547163866561241,0.9035897785443701,0,0.01798620996209155,0.9820137900379085,0,0.9,1.0,0.9
92,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8547163866561241,0.9084102896171515,0,0.006692850924284732,0.9933071490757153,0,0.9,1.0,1.0
93,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8547163866561241,0.912989775136294,0,0.006692850924284732,0.9933071490757153,0,0.9,1.0,1.0
94,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8547163866561241,0.9173402863794793,0,0.006692850924284732,0.9933071490757153,0,0.9,1.0,1.0
95,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8547163866561241,0.9214732720605053,0,0.006692850924284732,0.9933071490757153,0,0.9,1.0,1.0
96,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8547163866561241,0.92539960845748,0,0.006692850924284732,0.9933071490757153,0,0.9,1.0,1.0
97,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8547163866561241,0.9291296280346061,0,0.006692850924284732,0.9933071490757153,0,0.9,1.0,1.0
98,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8547163866561241,0.9326731466328758,0,0.006692850924284732,0.9933071490757153,0,0.9,1.0,1.0
99,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8547163866561241,0.936039489301232,,,,,,,
