Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time
65,3,2,2,1,8,2.185951583000133,60.5,3,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
66,3,6,6,1,8,3.70665525000004,47.0,20,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
67,3,2,2,1,8,2.131847958000435,42.5,1,0.26,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
68,3,4,4,1,8,3.2963808749991586,-88.0,20,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
69,3,1,1,1,8,4.118978792001144,-56.5,7,0.3400000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
70,3,1,1,1,8,1.357438541999727,-25.0,10,0.42000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
71,3,1,1,1,8,1.0861267500004033,-56.5,1,0.38,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
72,3,1,1,1,8,1.006826541000919,-47.5,6,0.3400000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
73,3,1,1,1,8,1.04943720799929,-70.0,3,0.3400000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
74,3,4,4,1,8,3.984617291000177,-52.0,15,0.14,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
75,3,0,0,1,8,3.5103595410000707,-56.5,9,0.26,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
76,3,2,2,1,8,2.2961827919971256,78.5,9,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
77,3,4,4,1,8,3.3960029170011694,-52.0,16,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
78,3,6,6,1,8,2.2112115409981925,60.5,13,0.14,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
79,3,4,4,1,8,3.861623917000543,-38.5,21,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
80,3,3,2,0,8,4.250641291997454,56.0,10,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
81,3,2,2,1,8,3.2547093749999476,78.5,1,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
82,3,2,2,1,8,1.545315583000047,87.5,5,0.26,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
83,3,3,3,1,8,1.7121321670019825,29.0,12,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
84,3,6,6,1,8,5.412335290999181,65.0,20,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
85,3,5,5,1,8,5.569960875000106,-70.0,22,0.38,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
86,3,5,5,1,8,1.2682922079984564,-88.0,20,0.38,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
87,3,0,0,1,8,3.6898995829978958,-74.5,4,0.14,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
88,3,0,0,1,8,0.9489439589997346,-7.0,3,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
89,3,2,2,1,8,3.112707791999128,11.0,11,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
90,3,7,6,0,8,3.578822333998687,33.5,21,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
91,3,0,0,1,8,2.023257459000888,-25.0,10,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
92,3,1,1,1,8,0.9489314589991409,-20.5,11,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
93,3,4,4,1,8,4.012187208998512,-61.0,23,0.26,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
94,3,4,4,1,8,2.0929025000004913,-7.0,17,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
95,3,3,3,1,8,2.378792916999373,74.0,11,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
96,3,2,2,1,8,1.9157569170019997,69.5,2,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
97,3,2,0,0,8,2.482157708000159,-70.0,2,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
98,1,0,0,1,2,1.8769575410005928,74.0,1,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
99,1,0,1,0,2,0.4206988330006425,-70.0,17,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
100,1,0,1,0,2,0.39387420899947756,-38.5,14,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
101,1,1,0,0,2,1.3255798330028483,60.5,2,0.14,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
102,1,0,1,0,2,1.379734666999866,51.5,16,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
103,1,0,1,0,2,5.337909208999918,38.0,20,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
104,1,1,0,0,2,1.4292697919991042,-70.0,0,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
105,1,1,0,0,2,2.9427604579977924,-79.0,9,0.42000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
106,1,0,1,0,2,1.1989347089984221,-34.0,21,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
107,1,1,0,0,2,2.066116875001171,56.0,9,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
108,1,1,0,0,2,2.1546261250005045,-38.5,6,0.3400000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
109,1,1,0,0,2,1.2087642090009467,42.5,12,0.42000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
110,1,1,0,0,2,1.2073685420000402,-52.0,11,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
111,1,1,0,0,2,1.0409649579996767,-20.5,5,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
112,1,1,0,0,2,1.1399485420006386,42.5,0,0.42000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
113,1,0,1,0,2,1.7467208340021898,51.5,14,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
114,1,0,0,1,2,0.995902249997016,42.5,12,0.3400000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
115,1,0,1,0,2,0.4395291670007282,51.5,18,0.14,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
116,1,1,0,0,2,12.252631875002407,74.0,9,0.14,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
117,1,0,1,0,2,1.9066002920008032,11.0,13,0.26,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
118,1,0,1,0,2,1.3386752500009607,-56.5,24,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
119,1,1,0,0,2,1.7613627499995346,6.5,1,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
120,1,1,0,0,2,1.4603502089994436,-7.0,3,0.42000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
121,1,1,0,0,2,1.3034480839996831,-65.5,10,0.14,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
122,1,1,1,1,2,1.1745660839987977,15.5,14,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
123,1,0,1,0,2,1.1150857499997073,-25.0,16,0.38,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
124,1,1,0,0,2,1.8063179580021824,6.5,7,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
125,1,1,0,0,2,1.1970781249983702,60.5,1,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
126,1,1,0,0,2,1.4773163329991803,-34.0,4,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
127,1,1,0,0,2,1.790699749999476,-70.0,1,0.26,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
128,1,1,1,1,2,1.2084090409989585,69.5,22,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
129,1,1,0,0,2,0.9425258330011275,-29.5,11,0.38,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
130,1,0,1,0,2,1.4139607500001148,24.5,13,0.42000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
131,1,1,0,0,2,1.4244222919987806,2.0,2,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
132,1,1,0,0,2,1.3954070409999986,-7.0,4,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
133,1,0,1,0,2,1.5722075420017063,-61.0,15,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
134,1,0,1,0,2,1.6769589579998865,33.5,21,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
135,1,0,0,1,2,1.5305231250022189,15.5,0,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
136,1,0,1,0,2,0.41630645799887134,78.5,20,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
137,1,1,0,0,2,1.5858689999986382,-25.0,5,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
138,1,1,0,0,2,1.4618992089999665,-88.0,0,0.14,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
139,1,0,1,0,2,2.1943227909978305,-25.0,22,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
140,1,1,0,0,2,1.4089220419991761,74.0,4,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
141,1,0,1,0,2,1.68315475000054,-25.0,20,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
142,1,1,0,0,2,1.8905691250001837,78.5,12,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
143,1,1,0,0,2,2.1718712499969115,69.5,8,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
144,1,1,0,0,2,1.6417751249973662,83.0,0,0.38,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
145,1,1,0,0,2,2.106967750001786,-47.5,6,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
146,1,1,0,0,2,1.3966146659986407,-43.0,12,0.42000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
147,1,1,0,0,2,0.8877472499989381,-34.0,3,0.3400000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
148,1,0,1,0,2,1.7898836249987653,69.5,20,0.42000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
149,1,1,1,1,2,1.6067007919991738,-34.0,13,0.26,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
150,1,0,1,0,2,1.3114566660005949,-34.0,19,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
151,1,0,1,0,2,1.3252056670025922,-38.5,16,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
152,1,1,0,0,2,2.307035582998651,78.5,6,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
153,1,0,1,0,2,1.6853532499990251,-29.5,17,0.3400000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
