,Trial_nr,Choice,Reward,probability_1,probability_2,probability_3,PE_1,PE_2,PE_3,LP_1,LP_2,LP_3,Nov_1,Nov_2,Nov_3,weight_PE,weight_LP,weight_Nov,model_1_probability,model_2_probability,model_3_probability
12,12.0,3.0,1.0,0.5436635,0.355949480725,0.201411125,1.0,0.6,0.8,1.0,0.6,0.19999999999999996,2.0,1.0,0.0,,,,0.3490714474503068,0.26514494049704257,0.3857836120526507
13,13.0,1.0,1.0,0.5436635,0.355949480725,0.22536879125,0.75,0.6,0.8,0.25,0.6,0.8,0.0,2.0,1.0,,,,0.3814537971680565,0.36285007595378244,0.255696126878161
14,14.0,2.0,1.0,0.5573535949999999,0.355949480725,0.22536879125,0.75,0.5,0.8,0.75,0.09999999999999998,0.8,1.0,0.0,2.0,,,,0.26532755100484395,0.3765177173786963,0.3581547316164598
15,15.0,3.0,0.0,0.5573535949999999,0.37527099630325,0.22536879125,0.75,0.5,0.8333333333333334,0.75,0.5,-0.033333333333333326,2.0,1.0,0.0,,,,0.3533479157410129,0.27518763347574954,0.37146445078323753
16,16.0,2.0,1.0,0.5573535949999999,0.37527099630325,0.24860772751250002,0.75,0.4285714285714286,0.8333333333333334,0.75,0.0714285714285714,0.8333333333333334,3.0,0.0,1.0,,,,0.3940303388623268,0.37481325247183245,0.23115640866584075
17,17.0,1.0,1.0,0.5573535949999999,0.3940128664141525,0.24860772751250002,0.6,0.4285714285714286,0.8333333333333334,0.15000000000000002,0.4285714285714286,0.8333333333333334,0.0,1.0,2.0,,,,0.38098301643999316,0.27428929464889185,0.344727688911115
18,18.0,3.0,1.0,0.5706329871499999,0.3940128664141525,0.24860772751250002,0.6,0.4285714285714286,0.7142857142857143,0.6,0.4285714285714286,0.11904761904761907,1.0,2.0,0.0,,,,0.27022927423635956,0.35576512877938204,0.37400559698425834
19,19.0,2.0,0.0,0.5706329871499999,0.3940128664141525,0.271149495687125,0.6,0.5,0.7142857142857143,0.6,-0.0714285714285714,0.7142857142857143,2.0,0.0,1.0,,,,0.3626290442535353,0.38122143293020383,0.25614952281626074
20,20.0,1.0,1.0,0.5706329871499999,0.41219248042172796,0.271149495687125,0.5,0.5,0.7142857142857143,0.09999999999999998,0.5,0.7142857142857143,0.0,1.0,2.0,,,,0.3800555659213051,0.2584243968290786,0.3615200372496163
21,21.0,2.0,0.0,0.5835139975354999,0.41219248042172796,0.271149495687125,0.5,0.5555555555555556,0.7142857142857143,0.5,-0.05555555555555558,0.7142857142857143,1.0,0.0,3.0,,,,0.27518763347574954,0.3533479157410129,0.37146445078323753
