,First_feature,Second_feature,Third_feature,Correct_response_1,Correct_response_2,Correct_response_3,Trial_nr,Choice,Reward,probability_1,probability_2,probability_3,PE_1,PE_2,PE_3,LP_1,LP_2,LP_3,Nov_1,Nov_2,Nov_3,weight_PE,weight_LP,weight_Nov,model_1_probability,model_2_probability,model_3_probability
28,0,0.0,1.0,0.0,0.0,1.0,28.0,1.0,0.0,0.6634864549172125,0.3940128664141525,0.2930150108165112,1.0,2.0,2.0,-1.0,2.0,2.0,0.0,4.0,2.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.6921238861752074,0.16839509723754784,0.13948101658724488
29,0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,1.0,0.6735818612696961,0.3940128664141525,0.2930150108165112,0.0,2.0,2.0,1.0,2.0,2.0,0.0,5.0,3.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.41011431241382246,0.3226423007815456,0.267243386804632
30,0,1.0,0.0,0.0,1.0,2.0,30.0,3.0,0.0,0.6833744054316052,0.3940128664141525,0.2930150108165112,0.0,2.0,2.0,0.0,2.0,0.0,1.0,6.0,0.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.6506012270476004,0.1911062200151143,0.15829255293728525
31,1,0.0,0.0,1.0,2.0,4.0,31.0,1.0,1.0,0.6833744054316052,0.3940128664141525,0.31422456049201586,0.0,2.0,2.0,0.0,2.0,2.0,0.0,7.0,1.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.6782477603699755,0.21854384227888668,0.10320839735113786
32,0,0.0,1.0,0.0,0.0,1.0,32.0,1.0,0.0,0.692873173268657,0.3940128664141525,0.31422456049201586,1.0,2.0,2.0,-1.0,2.0,2.0,0.0,8.0,2.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.6210874715768332,0.24161133987475963,0.13730118854840706
33,1,0.0,0.0,1.0,2.0,4.0,33.0,2.0,0.0,0.7020869780705974,0.3940128664141525,0.31422456049201586,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.3573574115222521,0.4097772578511533,0.2328653306265946
34,0,1.0,1.0,0.0,1.0,3.0,34.0,2.0,0.0,0.7020869780705974,0.41219248042172796,0.31422456049201586,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,4.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.4078908047113635,0.37122459781064515,0.22088459747799133
35,0,1.0,0.0,0.0,1.0,2.0,35.0,2.0,0.0,0.7020869780705974,0.42982670600907613,0.31422456049201586,1.0,1.0,2.0,1.0,0.0,2.0,3.0,0.0,5.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.43542382164050675,0.3287816606491689,0.23579451771032425
36,1,1.0,0.0,1.0,3.0,6.0,36.0,2.0,1.0,0.7020869780705974,0.44693190482880385,0.31422456049201586,1.0,0.0,2.0,1.0,1.0,2.0,4.0,0.0,6.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.448684656696144,0.30833970216624773,0.24297564113760817
37,1,0.0,0.0,1.0,2.0,4.0,37.0,1.0,0.0,0.7020869780705974,0.46352394768393973,0.31422456049201586,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,7.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.3106184612843225,0.521172711751383,0.1682088269642946
38,1,0.0,1.0,1.0,2.0,5.0,38.0,2.0,0.0,0.7110243687284795,0.46352394768393973,0.31422456049201586,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,0.0,8.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.2155866685614496,0.5793115045849713,0.2051018268535791
39,0,0.0,1.0,0.0,0.0,1.0,39.0,2.0,0.0,0.7110243687284795,0.47961822925342157,0.31422456049201586,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,9.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.38115453341724287,0.2882792590392618,0.3305662075434952
40,0,1.0,0.0,0.0,1.0,2.0,40.0,3.0,0.0,0.7110243687284795,0.49522968237581894,0.31422456049201586,1.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.3813358517683406,0.28794068762037806,0.3307234606112812
41,0,0.0,1.0,0.0,0.0,1.0,41.0,2.0,1.0,0.7110243687284795,0.49522968237581894,0.33479782367725536,1.0,0.0,2.0,1.0,1.0,2.0,4.0,0.0,1.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.4740919586169123,0.39268856058465085,0.1332194807984368
42,0,1.0,0.0,0.0,1.0,2.0,42.0,2.0,0.0,0.7110243687284795,0.5103727919045443,0.33479782367725536,1.0,2.0,2.0,1.0,-2.0,2.0,5.0,0.0,2.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.33156647690154795,0.5563204427004665,0.11211308039798551
